	Products of agriculture, hunting and related services	Products of forestry, logging and related services	Fish and other fishing products; aquaculture products; support services to fishing	Mining and quarrying	Food products; beverages; tobacco products 	Textiles; wearing apparel; leather and related products	Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials	Paper and paper products	Printing and recording services	Coke and refined petroleum products	Chemicals and chemical products	Basic pharmaceutical products and pharmaceutical preparations	Rubber and plastics products	Other non-metallic mineral products	Basic metals	Fabricated metal products, except machinery and equipment	Computer, electronic and optical products	Electrical equipment	Machinery and equipment n.e.c.	Motor vehicles, trailers and semi-trailers	Other transport equipment	Furniture; other manufactured goods	Repair and installation services of machinery and equipment	Electricity, gas, steam and air conditioning	Natural water; water treatment and supply services	Sewerage services; sewage sludge; waste collection, treatment and disposal services; materials recovery services; remediation services and other waste management services 	Constructions and construction works	Wholesale and retail trade and repair services of motor vehicles and motorcycles	Wholesale trade services, except of motor vehicles and motorcycles	Retail trade services, except of motor vehicles and motorcycles	Land transport services and transport services via pipelines	Water transport services	Air transport services	Warehousing and support services for transportation	Postal and courier services	Accommodation and food services	Publishing services	Motion picture, video and television programme production services, sound recording and music publishing; programming and broadcasting services	Telecommunications services	Computer programming, consultancy and related services; information services	Financial services, except insurance and pension funding	Insurance, reinsurance and pension funding services, except compulsory social security	Services auxiliary to financial services and insurance services	Real estate services	Imputed rents of owner-occupied dwellings	Legal and accounting services; services of head offices; management consulting services	Architectural and engineering services; technical testing and analysis services	Scientific research and development services	Advertising and market research services	Other professional, scientific and technical services; veterinary services	Rental and leasing services	Employment services	Travel agency, tour operator and other reservation services and related services	Security and investigation services; services to buildings and landscape; office administrative, office support and other business support services	Public administration and defence services; compulsory social security services	Education services	Human health services	Residential care services; social work services without accommodation	Creative, arts and entertainment services; library, archive, museum and other cultural services; gambling and betting services	Sporting services and amusement and recreation services	Services furnished by membership organisations	Repair services of computers and personal and household goods	Other personal services	Services of households as employers; undifferentiated goods and services produced by households for own use	Services provided by extraterritorial organisations and bodies
40. Computer programming, consultancy and related services; information services	0.0016730783276878	0.000721138991933564	0.00422052704714695	0.00367402137629972	0.00292580866304205	0.00265335971052625	0.00317033203231409	0.0030611506609274	0.004868358918779	0.00379093129364382	0.00383461064810211	0.00347390751998248	0.00326507877119633	0.00359237758197751	0.00297184446060038	0.0031421056745467	0.00235009129943794	0.00398167537709508	0.00348914529330785	0.00320351327542838	0.00421265857216036	0.00343248234940211	0.00287153069490306	0.00262518465616508	0.00294472598970062	0.00342119906448688	0.00309086461291057	0.00298551890887149	0.00461457009669733	0.0026063273542253	0.00620055584639972	0.0557445903801835	0.00507083133592347	0.00377892163898854	0.00287153243014746	0.00220526856746739	0.00575055243151131	0.00629171915650775	0.00458006378663157	1.15891623520682	0.0168609641668262	0.00996160611255189	0.0147706129621052	0.00309795211215164	0	0.008068177171448	0.00386512665953506	0.00705929519845219	0.00422860136769716	0.00320158972711651	0.0019871326647021	0.00122749037335475	0.0137638716890697	0.0027429530661697	0.00850499596284957	0.00151982412004348	0.00282582363974805	0.00490893718805035	0.00519325669260829	0.00398085992681904	0.00227905643855267	0.0138875182254355	0.00183332217894186	0	0
41. Financial services, except insurance and pension funding	0.02532809175213	0.0154452878575385	0.0197950194404808	0.0223155512255991	0.0273251906735739	0.0201661168116645	0.0268444559653925	0.0246778105816873	0.0231378911902723	0.0283572159067376	0.0261655291660945	0.0211504514300169	0.0239822793696478	0.0243843110033456	0.0263904572218024	0.0249093664621285	0.0229883430246076	0.026512229627881	0.0240694325587707	0.0290275519108003	0.0277370976794753	0.0229785249806879	0.0201841089217792	0.0222317122114283	0.0196842084514535	0.0194069301333801	0.0234393071352647	0.0207358933332454	0.0209930541076319	0.01813472634731	0.0194212164894052	0.0248954020802351	0.0272060574793294	0.017809348174889	0.0178499078511392	0.0189870514041258	0.0225822938891567	0.0198583879879823	0.019117402633303	0.0275400520417037	1.11935888371266	0.114138550735472	0.0274065725317231	0.00994811717304427	0	0.0240007431513363	0.0235594398130293	0.0115106166153713	0.0199340848641634	0.0140204607819826	0.0176923139971329	0.0103849638430312	0.0477790650345199	0.0138819890865982	0.0360033006326151	0.00954100024493596	0.0143333134078357	0.0205059903698554	0.0161623647046478	0.0176290771049598	0.0257939413124095	0.0174439615777988	0.0109747579060637	0	0
42. Insurance, reinsurance and pension funding services, except compulsory social security	0.0139315418777498	0.00108843566028013	0.00918405201043537	0.00668528769722212	0.00794028267711695	0.00429699853459273	0.0080050136206366	0.00561948681358425	0.00616199350950654	0.00621749541643581	0.00574554882518174	0.00383544396183278	0.00574540408220736	0.00618565411258801	0.00560290943591785	0.0057553076088746	0.0047500587009207	0.00543942994181103	0.0050930918573467	0.00488342607593162	0.00497958795815488	0.00555379529053477	0.00444620765888725	0.00486695547859036	0.00497290016391483	0.00470008700895629	0.0034461736709847	0.00562631574338653	0.00643419379823809	0.0043395273483766	0.00905782941613559	0.0117337721323206	0.00586147927058946	0.00565067476149141	0.00408916109117459	0.00390780007976904	0.00335611348537875	0.00390119640647679	0.00271375889197349	0.00293109694195529	0.0015527304747263	1.10767060601695	0.00400607224528929	0.00975038934159424	0	0.0054278212296177	0.00636643385154437	0.00236363467240084	0.00356567859180011	0.00303069896889073	0.0106092025323579	0.00133288159490232	0.00426630635466719	0.00381702278665089	0.00227188715254176	0.0010637619579837	0.00191764787347693	0.00233552904942223	0.00291392057292192	0.00430115249416411	0.00173757207783851	0.00500366700960843	0.00322525716732204	0	0
43. Services auxiliary to financial services and insurance services	0.00879610794990649	0.00120163636462982	0.00631423700786163	0.00648693029335116	0.00734380013327816	0.00527350987079481	0.00714374046180907	0.00571758485428997	0.00656216526086726	0.00655870565027816	0.00643947631139834	0.0051182176450789	0.00589862477963836	0.00631186282130551	0.00551387477391581	0.00611537359851601	0.00606208715924416	0.00663201268505824	0.00631881764780545	0.00573831313342319	0.00691463335029185	0.00658260221471033	0.00497867972949535	0.00485103110708702	0.00591703612990665	0.0052122430454455	0.00483049193067639	0.00686225147842214	0.0083683616571995	0.00724829912500163	0.00586127909773659	0.00952929495959632	0.0076129939782789	0.0046628807471133	0.00402230621067294	0.00491765230094251	0.0073998772480824	0.00627881087005103	0.00527360313121389	0.0143661667688633	0.0160103076264501	0.347938885332342	1.1751259512441	0.00586398004844009	0	0.00850049866206589	0.00785172138215914	0.00415123100429152	0.00616107842551406	0.00524332632108635	0.00656942060876013	0.00191408496300316	0.00859012040220202	0.00409765201792491	0.0025397642198666	0.00277022406695959	0.0035456225021797	0.00321673749920363	0.00454531112170313	0.00630908001922824	0.0020185861798905	0.00559823994025854	0.00368258815301389	0	0
44. Real estate services	0.0168689410919836	0.00620973391221477	0.017199824567183	0.0310970668053474	0.0285811065647601	0.0305226367843387	0.0305501037419995	0.0279805337517132	0.0462382731376696	0.0295743287430605	0.0362662374114813	0.0271873018540281	0.0366534139138138	0.0288391906660074	0.0285250997684419	0.0348894985300059	0.0324895878471344	0.0384491640258205	0.030028500662257	0.033117088321782	0.0310945079451456	0.0350227867635046	0.0260565181159833	0.025476777040769	0.0231483809673449	0.0316593635479882	0.0257294570780482	0.0470146428858723	0.048688891936909	0.0912632313178441	0.0234120479275439	0.0707684259205233	0.0343149246251687	0.03649704444805	0.0358739425691215	0.0575170150576321	0.0528920541083922	0.0912104406270962	0.0573781826953887	0.0370053700153206	0.0633464529841442	0.0380287255103547	0.0634157248561222	1.02121888751803	0	0.0515347293447157	0.0438847780013353	0.0229808248003007	0.0516277049605892	0.0311654570723611	0.0230119962731322	0.0146950660712644	0.0509742940129584	0.0301597980976796	0.0253476935804461	0.00889095750136444	0.0138965163607692	0.0268399602672604	0.0495069645004571	0.047866601407895	0.0128456207828659	0.0180676231815486	0.0478040232883324	0	0
44 b. Imputed rents of owner-occupied dwellings	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45. Legal and accounting services; services of head offices; management consulting services	0.0166621125529101	0.0062900951748338	0.0202208253669659	0.0412461547155884	0.0349025199472497	0.0321262763186939	0.0328485579062819	0.0280539724774829	0.0367480067766876	0.0686788323647705	0.0376567165636299	0.0378984631495706	0.0347855703809145	0.0458471412309167	0.0328057526513074	0.0326981071764865	0.0536461149579738	0.0521275768976652	0.0413284915948867	0.0381057944132455	0.0379449540680512	0.0373709018167036	0.0234979358044368	0.0305472180678471	0.0336736040728373	0.0493581559824736	0.0386150892704274	0.0465711833281219	0.0487973588034641	0.0364395370094436	0.0234305811467642	0.0497598228649851	0.0325922878952883	0.0207581167414084	0.0163695818468313	0.0287308679562722	0.0499660327522311	0.0937635717951615	0.0470235767220411	0.0478809497898822	0.0433153532028468	0.0521285661452587	0.0550976582770542	0.0433888466601362	0	1.28713388579609	0.020902542061792	0.0343018894610097	0.0318082834213	0.01237386171384	0.0262693345412811	0.00702004618377206	0.0323968373897248	0.0267452259643099	0.0162769935544329	0.012026484013322	0.0226067765525918	0.044872780817971	0.0509951832839767	0.0352680136031071	0.0351909912961143	0.0305724821743128	0.0258254452742133	0	0
46. Architectural and engineering services; technical testing and analysis services	0.00475330029726207	0.00153852335082026	0.00764619601360191	0.0287347789479345	0.00680456869312453	0.00489980262670787	0.0070590469565224	0.00745199506796527	0.0109870924302947	0.0281487276827729	0.00923445190411192	0.00693094768900296	0.00763931289513313	0.00976485577331874	0.0104762927322079	0.0145413099789455	0.0215001322959101	0.00971567534744446	0.00860985051577811	0.00945274424474721	0.120862846286479	0.00659127352727075	0.0222182426752221	0.011190672672483	0.00884882825339298	0.00727596551784619	0.0690967890885687	0.0085993282612657	0.00833991341274581	0.00840901205025419	0.0121691094717479	0.0130626051162563	0.0613890400572273	0.0115851030685947	0.0101336011414762	0.006312304991286	0.0229422328275712	0.0126405039089906	0.0323893191672957	0.0229850928470623	0.00666178573718304	0.0079125869973098	0.00833197779501582	0.0177877271305779	0	0.0122745916528636	1.25379017675597	0.0121760389866072	0.0346388339953916	0.00794330322215669	0.0168252853101576	0.0210043367810442	0.0124988836674176	0.0418448329188845	0.0254616410170421	0.00637993864343646	0.00402938514787596	0.00659515710632505	0.0128639902699391	0.0106613879796944	0.00481637830638554	0.00690347490562213	0.00570050510418707	0	0
47. Scientific research and development services	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.02382507316837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
48. Advertising and market research services	0.0101704501039554	0.00399078090839322	0.00876235337844201	0.0106761442141022	0.0242854009223718	0.0200282378946464	0.0150280997833193	0.0202642242938433	0.0446507379857325	0.0107352589206396	0.0245172312831488	0.0276930838099972	0.0165424866443777	0.0197466415987679	0.0133392685822484	0.0143120652156788	0.0188151366312854	0.021579229442248	0.0185211173636317	0.0217133607684825	0.0159207706821376	0.02812143375077	0.010707190674677	0.00971640703783552	0.0114708532812594	0.0163448963829852	0.0116927869026689	0.0316341340028591	0.0351323975125231	0.0158835698584427	0.0078006405566983	0.0142361264817377	0.0275144971743576	0.00504719864826232	0.00378110980301885	0.0123026059962751	0.0679463494849079	0.0354134701569714	0.0180279870675911	0.0175454692371617	0.0398534575910965	0.0492305782351402	0.0404982750116749	0.0043251997931052	0	0.0128052290851689	0.0163124074928649	0.0110872697416416	1.19635157311596	0.0111745668174364	0.0121872810585132	0.00236288098894613	0.0354701263908453	0.00496578589478432	0.00862899924954653	0.00364413871847616	0.0062361886116767	0.0052159987589333	0.0217509831452733	0.0177470762645702	0.0157200519249635	0.0109784722922386	0.00941880995220205	0	0
49. Other professional, scientific and technical services; veterinary services	0.011853512245926	0.0018554063035877	0.00637884130860128	0.0211958833536919	0.010131738118035	0.00844341984541095	0.00681900069233243	0.0066039022387371	0.0172073530911121	0.0172572207842436	0.00908218422640704	0.00792927140476403	0.01032047612412	0.00817385119643772	0.00976366822142399	0.00941940339636182	0.0107348511148169	0.0143392944782231	0.0107322602140682	0.0113392437347492	0.104346032119617	0.00877244556323537	0.0142835738813289	0.0132657986735562	0.0138208533486917	0.00836324391826845	0.00733810901577709	0.00964453919799074	0.0173452639238321	0.0114921666443905	0.00954934257928647	0.00897830856650187	0.0287692685620959	0.0107154264397375	0.00315230957071664	0.00965580536504643	0.0405778380795249	0.0243662637994667	0.0238974955485155	0.0367804309211272	0.00358301038980446	0.00346252193952282	0.00443265175893068	0.00331238298767229	0	0.00783290804287268	0.0100105738472815	0.0165935552568816	0.0268066652892512	1.11812294841272	0.00631512558069475	0.00234389711459665	0.0161112200303876	0.00891755327858092	0.00387784121598213	0.00924678705476683	0.00284048728474207	0.00467099640070694	0.0420512903935137	0.0288570919720595	0.0085035956184103	0.0165544559213159	0.00917456426701593	0	0
50. Rental and leasing services	0.00722442259709951	0.00193751383099053	0.0194926139009144	0.028691983832465	0.0148326464196896	0.0119439136543555	0.0139262769644495	0.0134869737711873	0.0212865231887952	0.0256814979283825	0.0184285720569734	0.011989315572475	0.0166253027063768	0.0203352966443119	0.0186238519722979	0.0170427502676269	0.0165617341522891	0.0175161762723737	0.0169967967308263	0.0209029723335041	0.015285117294345	0.0160768429034411	0.0198159716452502	0.0144843355891103	0.0364893427604845	0.0297685697675554	0.0163318918613404	0.0103699926241071	0.0125243121205195	0.0192739251640872	0.0238614858968018	0.111107794092666	0.130476939061111	0.0162497446916649	0.0163853465940496	0.0129990409027877	0.0173367448402416	0.046372830249171	0.0217084741639632	0.0168119364651555	0.00458069392865148	0.00417404877918234	0.00557464206785759	0.00780216284361022	0	0.0084746079307833	0.0118855617707311	0.00744751990750819	0.0163205824193441	0.00621310534939687	1.10735129082426	0.00144348928226644	0.0314599212837092	0.00632262456469714	0.00645458873984939	0.0104084806789217	0.00458760448915348	0.00560921061555348	0.0102315409232291	0.0159460115943598	0.00611338201725492	0.0378435981343197	0.00958820780073996	0	0
51. Employment services	0.00390572722919337	0.00121096564238879	0.00334246908060368	0.00458291662832265	0.0108887291113556	0.00550293713543605	0.00759789645428647	0.0124514615260014	0.00949376693950104	0.00446234689881624	0.0115842021280531	0.0149085787114309	0.0130641038520573	0.00732769353513454	0.00710270984173912	0.00954950660383034	0.00970262727409767	0.00848476769968022	0.00844772350225684	0.0135531265859232	0.0105582251682784	0.0081076662813923	0.00544130813990498	0.00407683799120011	0.00345486309675889	0.00502386056709854	0.00472089840421058	0.00968085352922707	0.0114722044547842	0.00486377499636005	0.00414085584270352	0.00368070770417447	0.0057793752112796	0.00904588969110697	0.00136519679616317	0.00596299481293986	0.00769133206058711	0.00505130197460187	0.00657170214133111	0.00511082464534772	0.00151137925539012	0.00144500527598527	0.00194302755632227	0.00183140464894949	0	0.00474002807574834	0.00594648843439391	0.0039438007419951	0.00778337809107382	0.0026745327824957	0.0034777699605001	1.01376210920907	0.00968420734143551	0.00926629919755865	0.00169339799490873	0.0011198032540605	0.00265667955649805	0.00310428680224631	0.00239641075794057	0.00280184101079003	0.0056549815832055	0.00443364574772603	0.00226971580475951	0	0
52. Travel agency, tour operator and other reservation services and related services	0.000574629890807067	0.000235869606202535	0.0020450422604058	0.00132593323979359	0.000942173818427434	0.000934651428723176	0.000940949847997754	0.000956758804412805	0.0015237501936901	0.00144981477750255	0.00176678000636498	0.00172896355163934	0.00116750282541833	0.00112251767569508	0.00118940580221337	0.00110657342771124	0.00182522645451989	0.00109142943529212	0.00104049695940671	0.00130589191663874	0.0014976254406102	0.00106157828519512	0.00182187525087139	0.000959671411634787	0.00167883780728261	0.00240709639489443	0.0026676323713076	0.00227919571838079	0.00165887758233104	0.0010818529085151	0.00156862505074136	0.00329567204436915	0.01413934150039	0.00184352012339868	0.00057213233314471	0.000751314271871896	0.00731607260061396	0.002639925132325	0.00118704788358502	0.00807593260155328	0.000881738252588083	0.00092812506967789	0.00098658216625219	0.000552390110110231	0	0.000609385828008356	0.00222897797739172	0.000942297446212351	0.00896276679212384	0.00368964359901752	0.019166766588377	0.000606873224580767	1.10517801611151	0.000916965022496074	0.00090397274639558	0.000621618945208655	0.000534999199306041	0.000394351646721446	0.000780921850310759	0.00162683125136344	0.0010318112424805	0.00244241938287512	0.000548565441073183	0	0
"53. Security and investigation services; services to buildings and landscape; office administrative, 
office support and other business support services"	0.025941460992401	0.00940392150861075	0.025181860732846	0.0624703145282619	0.0465554769596473	0.0350571875047511	0.0541725723890562	0.0591277286721372	0.0668936453050638	0.0653630924422116	0.0610087218766375	0.0490134872645531	0.0530680155226003	0.0497481612343697	0.0490358521076922	0.047360668664841	0.0669185709852101	0.060064673399662	0.047685921077358	0.0629016438992372	0.0610811917198763	0.0334806409063121	0.0484223393892785	0.0592941936931988	0.0728450178984949	0.0418691801149004	0.0466074984922787	0.0475307893700793	0.0840959124735826	0.0541354612716507	0.0549684976654808	0.0580040462712622	0.0665522396593202	0.0604685657868196	0.0377745225249127	0.0296959176074126	0.0442999355040016	0.0361164430283354	0.0587769724210981	0.103318262170947	0.0646339814895129	0.048530200673026	0.0707093404764737	0.0274908651152505	0	0.0861988282251324	0.0634890520322644	0.0347326715307152	0.0378879076060655	0.0245618777680738	0.0320958156158924	0.0102829197843814	0.0497309503453208	1.15387811396634	0.0514362144836791	0.0223324722053623	0.0379606855484783	0.0539237228325554	0.0157575857543955	0.0321086626723071	0.0252864873300783	0.0306316192513591	0.035104549118533	0	0
54. Public administration and defence services; compulsory social security services	0.000767329977537167	0.000181565097399773	0.0112544787695448	0.00194917059437544	0.00126315387435131	0.00111313667389944	0.00148193081710904	0.00130065981341359	0.00170114073503512	0.00167469350918469	0.0013933015659613	0.00261466754968984	0.00170688374327267	0.00158748862874894	0.00218018497946204	0.00187164358438751	0.00160223680118334	0.00193446479398843	0.00139720103312002	0.00189810083866471	0.00184839802589976	0.00142855251808625	0.00162815973909429	0.00187434089138326	0.000948294708713952	0.00133409694314663	0.00363227445368485	0.00073516195064883	0.00144291603350782	0.00335263947311311	0.00182795679106257	0.00857162536327896	0.00728324383424515	0.00185137447984401	0.00184083751173958	0.00225685903130783	0.00151116828158196	0.000919781025846745	0.00122329036304013	0.00104558104240209	0.0003187118662872	0.000326338065578833	0.000386674240225138	0.000326884815923385	0	0.000590278399740865	0.000918445538317978	0.00105164075692572	0.00180114517460143	0.000971311828311815	0.00202673339787431	0.000822278514433879	0.00285621816556119	0.000937177526627386	1.00047052312772	0.00184634145354594	0.000850929019590018	0.00240349709867353	0.00101400400913584	0.00136341501940084	0.00071052677550892	0.00164869283587011	0.000640632431116896	0	0
55. Education services	0.00235435440766416	0.000837864719715787	0.00290956326722869	0.00442494166269797	0.00443888308427466	0.00330642923929152	0.00331725726316461	0.00386995701165659	0.00742086396034586	0.00690389366820611	0.004745871375282	0.00820910442459729	0.0056162000796985	0.00404692746304666	0.00728623931744595	0.004413136669986	0.0105351388296167	0.00484574111478709	0.00497424899164456	0.0074207460794903	0.00880576630171999	0.0050264212682235	0.00683169137872927	0.0067885685572018	0.0063970028318239	0.00758396091769034	0.00407837413348291	0.00812750219219612	0.00581264478641332	0.00529879221410337	0.00429863297355789	0.00409418810340406	0.0223250474407413	0.00221737344847716	0.00146401559811623	0.00262755582321748	0.0116667980448574	0.00519869173298399	0.0153960703623144	0.0158795202624183	0.00332504039414226	0.00237161198030309	0.0038950431321017	0.0017573129734156	0	0.00497562507901427	0.00726030388664814	0.00838321085199169	0.0108680269958348	0.00909935972692864	0.0050265284078713	0.00459091386166723	0.00473284981102334	0.00642355363688438	0.00188385909399873	1.00312673958915	0.00213599215710099	0.00869234988231512	0.00304807463340286	0.00295752274122677	0.0299972862118862	0.0084150070779911	0.0023547106559012	0	0
56. Human health services	0.00222431377035931	0.00107904164157573	0.00290274633508456	0.00411991463535048	0.00420172136606482	0.00311157787923836	0.00328843752407917	0.00325974834915981	0.0031731934006524	0.00437674079626934	0.00536489885429821	0.00473479874005457	0.00393651180638239	0.00339925201670367	0.00435309796744879	0.00333820146505811	0.00494577233131804	0.00463218746981567	0.00374058480651841	0.00546249377614101	0.0062190286610764	0.00521996846208845	0.00509293040012541	0.00375478482060064	0.00402964723920054	0.00974386411875658	0.0023866439194842	0.00717565543005482	0.0110517204702481	0.00621920499986102	0.00347531224155624	0.00271254397771693	0.00356658972715584	0.00164767863078497	0.00737627934023201	0.00539582429426238	0.00374301853918122	0.00387838394116213	0.0137319118615774	0.00721204492708737	0.00264099616318114	0.00225360649171116	0.00333012693130057	0.00145273173586056	0	0.00476863688342968	0.00643900339248978	0.00259165702145891	0.00585062169314786	0.00478883563177031	0.00269684485743326	0.00223235336932992	0.00383548276472591	0.00345021896535916	0.00165475140930823	0.00138387970620681	1.06117879796467	0.00684758706789359	0.00253398529728738	0.00324186840115589	0.0146685714311529	0.00425381265117954	0.00222580074884093	0	0
57. Residential care services; social work services without accommodation	0.00000799114731606358	0.00000223447608446478	0.00000852812397099649	0.0000115447186130765	0.0000144618686554579	0.0000105481440098666	0.0000666717248378385	0.0000112587895779205	0.0000130110495232243	0.0000137768756448868	0.0000154245611072713	0.0000153383448360775	0.0000147384278688524	0.0000113840324872498	0.0000155554499289745	0.0000123229255363278	0.0000192695569015573	0.0000151150590442971	0.0000127042498897764	0.0000185980857033972	0.0000169539941791839	0.0000178280231242484	0.0000140606797016208	0.000012377399122883	0.0000117003224133114	0.00001785716797873	0.0000106133204580341	0.0000168191980772832	0.0000178137208365615	0.0000607025428706573	0.0000119846332546074	0.0000109740442422422	0.0000258147741187456	0.0000110370571463035	0.0000101510437595141	0.000018685635140526	0.0000157933030656109	0.0000155927642964434	0.0000271963900410174	0.0000253281337749937	0.00000726878377491355	0.00000555574568102453	0.00000849921826889768	0.0000283972608437494	0	0.0000105772406715109	0.0000154476979008724	0.000242792536771654	0.000017303832478571	0.0000135391550388614	0.0000155001851626114	0.00000653530322225887	0.0000148075958031906	0.0000101172437160789	0.00000446881282766454	0.000738911119137254	0.000977506402067912	1.00909372117229	0.00000714947354614634	0.00000829645283581733	0.0000376946114532643	0.0000132659148146475	0.00053017718974881	0	0
58. Creative, arts and entertainment services; library, archive, museum and other cultural services; gambling and betting services	0.000666077547807451	0.000250647169906509	0.00131762359202601	0.00118753632173991	0.00126817643767756	0.000764779617462403	0.00102921949943607	0.000979406928546688	0.00273095897995071	0.00156836800770524	0.00146516342801276	0.00220241084404642	0.00102046124538802	0.00103619388223307	0.00102287484997808	0.000968390422381455	0.00194729130265992	0.00117567150315662	0.00140509339018526	0.00164674329269773	0.00256153466019757	0.0010331049117544	0.00313234283507327	0.000902741764344144	0.00100167751796898	0.000983042444340543	0.00101350352819568	0.00106916579269974	0.00220804218522667	0.000903724269262774	0.00149122021779157	0.00134222074519285	0.00452555515506784	0.000837169265917088	0.00549932014937183	0.00305590028561037	0.0100377514315529	0.00803313993954985	0.0032151748692861	0.00152892336017766	0.00180320916188383	0.00154069421112547	0.00210239132012127	0.000640929025374949	0	0.00450335754455259	0.00524152598211054	0.00121761663729323	0.00982734973777351	0.00780892673875293	0.00472141158160792	0.00296574084491903	0.00982154035439098	0.00398223930612843	0.000799540196743617	0.000554149240255701	0.000556393442891304	0.000652678195335302	1.027370130151	0.0138792111453724	0.00139020036747532	0.00107432820704957	0.00184488677320315	0	0
59. Sporting services and amusement and recreation services	0.0017762060585483	0.000847841485862277	0.00242885633764544	0.00268091206871295	0.00338273769224518	0.00240293965419834	0.00276204974762098	0.00298461149050341	0.00500811969212228	0.0060064798479928	0.00363662931967454	0.00358967729238566	0.00341774605663163	0.00260027642371916	0.00365702252200368	0.00316120443250568	0.00694529552907288	0.00323588428555523	0.00394281404039709	0.00465523205572363	0.0102615053281611	0.00689232441890807	0.00649586882072309	0.00248083862606639	0.00236906569906181	0.00337821507503751	0.00219664348124887	0.00446682719728817	0.00824392869127642	0.0019584333491891	0.00221323999390063	0.00342906269942708	0.0055595357901189	0.00356401973814503	0.0156993092180805	0.00369836177432747	0.021413594527841	0.0167079899959869	0.00975529122023891	0.00337263985156074	0.00482992288977097	0.00373432863862119	0.00566742632544166	0.00263339671498832	0	0.00677156124084746	0.00495128684418574	0.00261387584598029	0.0174284151608567	0.0159120103892773	0.0107546820083764	0.00607804388324856	0.034764188485366	0.0070983440456084	0.001789707226552	0.00124882351095642	0.00129754361327512	0.00170678440641771	0.0619671641089529	1.05450157717075	0.0107627729926795	0.0041471788908176	0.00140336562959043	0	0
60. Services furnished by membership organisations	0.00266841832854643	0.000931808309062352	0.014207153316281	0.0039593781971662	0.00438838240189917	0.00272027978795988	0.0056915691953768	0.00506164908959274	0.00398095316284684	0.00586766356069952	0.0094051784174355	0.0074505621865751	0.00476414538663535	0.00737562734858542	0.00651756015232237	0.00627178300494459	0.00481009138341963	0.00515493964164525	0.00458338508251281	0.00693090479953733	0.00672255804948938	0.00786927579685444	0.00499013606862987	0.00791400489689139	0.00367312979831313	0.00941460885358728	0.0033141706033177	0.00695595014771133	0.00716222311224831	0.00443980975539265	0.00686780638709117	0.00760726844507251	0.00480287276563598	0.00346885768063232	0.00209419697261522	0.00401625832087001	0.00624649817507368	0.00718522559230381	0.00449016504739343	0.0224651949886838	0.00483981400927458	0.00338884714488726	0.00559834940254408	0.00349153019134246	0	0.0126633593746232	0.0135478001321797	0.00474279381290455	0.0113734665486094	0.0117107856126113	0.00390575886466423	0.00613834518510283	0.00519048999807097	0.00594902447593554	0.00189910817295815	0.00213796527601061	0.00206242897221727	0.0194540049116543	0.0552609350138053	0.0382839963667789	1.05732148422131	0.00900954875072541	0.00225688970085115	0	0
61. Repair services of computers and personal and household goods	0.000990201368366178	0.000185457021884294	0.00190937322080346	0.00242282715633949	0.00126840303841738	0.000838074542891285	0.00223529449859298	0.00207313492408183	0.00206222435443271	0.00258186188869601	0.0015400600148963	0.00116805892067924	0.00137748862215155	0.00189049564814884	0.00130039234484952	0.00121080248514039	0.00548759279565605	0.0016303833171788	0.00217793328579689	0.001639160019523	0.00122387383831678	0.00123286497597789	0.00170473433823812	0.0017132223483592	0.00176265743765	0.00180452836320968	0.00110590596179942	0.0011468391294743	0.00103655530868787	0.000751997617630791	0.00321678353381716	0.00450077688857793	0.00312264720514249	0.00204436710849703	0.00105543325606608	0.0018144167738955	0.00129671927374208	0.00189739458922186	0.00176573596159578	0.00237356131523708	0.000613658227284385	0.000691091709682932	0.000951635049957895	0.000830481494948341	0	0.00976958168979986	0.00092448997141649	0.00108216150248259	0.00102915119864887	0.000618796369289383	0.00250802690383677	0.000162722961451056	0.00166728128949943	0.000698326292385597	0.00384229704100591	0.0036548220614088	0.00247423855738333	0.000989499937587409	0.00097548876257919	0.00106176588564872	0.00082786969876483	1.14059643028392	0.000921593807598344	0	0
62. Other personal services	0.000638897141689692	0.000215682184802822	0.00117931976583766	0.00167607112246805	0.00134167834581818	0.00178927579564522	0.00183338359544047	0.00182439453535013	0.00173482913498066	0.00236485964827261	0.00199613797491546	0.00124617249890426	0.0018343958622793	0.00173621337176686	0.00202286226461505	0.00176949619304961	0.00247958150775935	0.00182326217716974	0.00175852163099044	0.00250405738629292	0.00186783943961801	0.00223154204645654	0.00195413875155771	0.00156191339825077	0.00152917074938008	0.00158313265249582	0.00108672468758948	0.00211811857939025	0.00130417216380258	0.00133268216382093	0.0015785562114827	0.00278313816167698	0.00471699869057399	0.00120054472940275	0.00140818393611553	0.00174871515188916	0.00187017203174754	0.00585740050681787	0.00123449640552778	0.00166030434352777	0.000493490219594436	0.000553729849215696	0.000615285192489361	0.000929276874457574	0	0.00142723274081526	0.00161669778911867	0.00111016812246616	0.00251705407480637	0.0015638395086756	0.0144303404903959	0.00108984044894848	0.0031817813213437	0.00122906843329108	0.000438579858665557	0.000422520096176016	0.00210655507046308	0.00931015480167358	0.00106026566494082	0.00222921837657113	0.00094350427398546	0.00212422131074406	1.02621318042346	0	0
63. Services of households as employers; undifferentiated goods and services produced by households for own use	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
64. Services provided by extraterritorial organisations and bodies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
