Branch of activity (CNAE 2009);Polluting substances;period;Total
26: Manufacture of computer, electronic and optical products;NOx - Nitrogen oxides (tonnes of equivalent NO2);2019;0.1
26: Manufacture of computer, electronic and optical products;SOx - Sulphur oxides (tonnes of equivalent SO2);2019;0.3
26: Manufacture of computer, electronic and optical products;NH3 - Ammonia (tonnes);2019;0.1
26: Manufacture of computer, electronic and optical products;CO - Carbon monoxide (tonnes);2019;0.0
26: Manufacture of computer, electronic and optical products;NMVOC - Non-metallic volatile organic compounds (tonnes);2019;0.0
27: Manufacture of electrical equipment;CO2 - Carbon dioxide (thousands tonnes);2019;0.2
27: Manufacture of electrical equipment;CH4 - Methane (tonnes);2019;0.0
27: Manufacture of electrical equipment;N2O - Nitrous oxide (tonnes);2019;0.0
27: Manufacture of electrical equipment;PFC - Perfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;0.0
27: Manufacture of electrical equipment;HFC - Hydrogenfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;0.2
27: Manufacture of electrical equipment;SF6 - Sulphur hexaflouride (thousands of tonnes of equivalent CO2);2019;0.8
27: Manufacture of electrical equipment;PM2.5 - Particles with a diameter of  2.5 µm or less (tonnes);2019;1.7
27: Manufacture of electrical equipment;PM10 - Particles with a diameter of 10 µm or less (tonnes);2019;0.4
27: Manufacture of electrical equipment;NOx - Nitrogen oxides (tonnes of equivalent NO2);2019;0.0
27: Manufacture of electrical equipment;SOx - Sulphur oxides (tonnes of equivalent SO2);2019;0.0
27: Manufacture of electrical equipment;NH3 - Ammonia (tonnes);2019;0.0
27: Manufacture of electrical equipment;CO - Carbon monoxide (tonnes);2019;0.0
27: Manufacture of electrical equipment;NMVOC - Non-metallic volatile organic compounds (tonnes);2019;0.1
28: Manufacture of machinery and equipment n.e.c;CO2 - Carbon dioxide (thousands tonnes);2019;0.0
28: Manufacture of machinery and equipment n.e.c;CH4 - Methane (tonnes);2019;0.0
28: Manufacture of machinery and equipment n.e.c;N2O - Nitrous oxide (tonnes);2019;0.0
28: Manufacture of machinery and equipment n.e.c;PFC - Perfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;0.0
28: Manufacture of machinery and equipment n.e.c;HFC - Hydrogenfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;0.0
28: Manufacture of machinery and equipment n.e.c;SF6 - Sulphur hexaflouride (thousands of tonnes of equivalent CO2);2019;0.0
28: Manufacture of machinery and equipment n.e.c;PM2.5 - Particles with a diameter of  2.5 µm or less (tonnes);2019;0.0
28: Manufacture of machinery and equipment n.e.c;PM10 - Particles with a diameter of 10 µm or less (tonnes);2019;0.0
28: Manufacture of machinery and equipment n.e.c;NOx - Nitrogen oxides (tonnes of equivalent NO2);2019;0.0
28: Manufacture of machinery and equipment n.e.c;SOx - Sulphur oxides (tonnes of equivalent SO2);2019;0.0
28: Manufacture of machinery and equipment n.e.c;NH3 - Ammonia (tonnes);2019;0.0
28: Manufacture of machinery and equipment n.e.c;CO - Carbon monoxide (tonnes);2019;0.0
28: Manufacture of machinery and equipment n.e.c;NMVOC - Non-metallic volatile organic compounds (tonnes);2019;0.0
29: Manufacture of motor vehicles, trailers and semi-trailers;CO2 - Carbon dioxide (thousands tonnes);2019;0.0
29: Manufacture of motor vehicles, trailers and semi-trailers;CH4 - Methane (tonnes);2019;0.0
29: Manufacture of motor vehicles, trailers and semi-trailers;N2O - Nitrous oxide (tonnes);2019;0.0
29: Manufacture of motor vehicles, trailers and semi-trailers;PFC - Perfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;0.0
29: Manufacture of motor vehicles, trailers and semi-trailers;HFC - Hydrogenfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;0.1
29: Manufacture of motor vehicles, trailers and semi-trailers;SF6 - Sulphur hexaflouride (thousands of tonnes of equivalent CO2);2019;0.0
29: Manufacture of motor vehicles, trailers and semi-trailers;PM2.5 - Particles with a diameter of  2.5 µm or less (tonnes);2019;0.0
29: Manufacture of motor vehicles, trailers and semi-trailers;PM10 - Particles with a diameter of 10 µm or less (tonnes);2019;0.0
29: Manufacture of motor vehicles, trailers and semi-trailers;NOx - Nitrogen oxides (tonnes of equivalent NO2);2019;0.0
29: Manufacture of motor vehicles, trailers and semi-trailers;SOx - Sulphur oxides (tonnes of equivalent SO2);2019;0.0
29: Manufacture of motor vehicles, trailers and semi-trailers;NH3 - Ammonia (tonnes);2019;0.0
29: Manufacture of motor vehicles, trailers and semi-trailers;CO - Carbon monoxide (tonnes);2019;0.0
29: Manufacture of motor vehicles, trailers and semi-trailers;NMVOC - Non-metallic volatile organic compounds (tonnes);2019;0.0
30: Manufacture of other transport equipment;CO2 - Carbon dioxide (thousands tonnes);2019;0.0
30: Manufacture of other transport equipment;CH4 - Methane (tonnes);2019;50.5
30: Manufacture of other transport equipment;N2O - Nitrous oxide (tonnes);2019;2.4
30: Manufacture of other transport equipment;PFC - Perfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;52.9
30: Manufacture of other transport equipment;HFC - Hydrogenfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;23.9
30: Manufacture of other transport equipment;SF6 - Sulphur hexaflouride (thousands of tonnes of equivalent CO2);2019;0.7
30: Manufacture of other transport equipment;PM2.5 - Particles with a diameter of  2.5 µm or less (tonnes);2019;9.2
30: Manufacture of other transport equipment;PM10 - Particles with a diameter of 10 µm or less (tonnes);2019;10.8
30: Manufacture of other transport equipment;NOx - Nitrogen oxides (tonnes of equivalent NO2);2019;370.3
30: Manufacture of other transport equipment;SOx - Sulphur oxides (tonnes of equivalent SO2);2019;72.2
30: Manufacture of other transport equipment;NH3 - Ammonia (tonnes);2019;50.8
30: Manufacture of other transport equipment;CO - Carbon monoxide (tonnes);2019;174.1
30: Manufacture of other transport equipment;NMVOC - Non-metallic volatile organic compounds (tonnes);2019;29.0
31-32: Manufacture of furniture, other manufacturing;CO2 - Carbon dioxide (thousands tonnes);2019;145.2
31-32: Manufacture of furniture, other manufacturing;CH4 - Methane (tonnes);2019;275.2
31-32: Manufacture of furniture, other manufacturing;N2O - Nitrous oxide (tonnes);2019;43.9
31-32: Manufacture of furniture, other manufacturing;PFC - Perfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;123.9
31-32: Manufacture of furniture, other manufacturing;HFC - Hydrogenfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;219.5
31-32: Manufacture of furniture, other manufacturing;SF6 - Sulphur hexaflouride (thousands of tonnes of equivalent CO2);2019;728.8
31-32: Manufacture of furniture, other manufacturing;PM2.5 - Particles with a diameter of  2.5 µm or less (tonnes);2019;103.6
31-32: Manufacture of furniture, other manufacturing;PM10 - Particles with a diameter of 10 µm or less (tonnes);2019;8.2
31-32: Manufacture of furniture, other manufacturing;NOx - Nitrogen oxides (tonnes of equivalent NO2);2019;40.8
31-32: Manufacture of furniture, other manufacturing;SOx - Sulphur oxides (tonnes of equivalent SO2);2019;30.8
31-32: Manufacture of furniture, other manufacturing;NH3 - Ammonia (tonnes);2019;128.7
31-32: Manufacture of furniture, other manufacturing;CO - Carbon monoxide (tonnes);2019;24.3
31-32: Manufacture of furniture, other manufacturing;NMVOC - Non-metallic volatile organic compounds (tonnes);2019;17.8
33: Repair and installation of machinery and equipment;CO2 - Carbon dioxide (thousands tonnes);2019;0.3
33: Repair and installation of machinery and equipment;CH4 - Methane (tonnes);2019;110.1
33: Repair and installation of machinery and equipment;N2O - Nitrous oxide (tonnes);2019;2.5
33: Repair and installation of machinery and equipment;PFC - Perfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;9.6
33: Repair and installation of machinery and equipment;HFC - Hydrogenfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;67.6
33: Repair and installation of machinery and equipment;SF6 - Sulphur hexaflouride (thousands of tonnes of equivalent CO2);2019;100.7
33: Repair and installation of machinery and equipment;PM2.5 - Particles with a diameter of  2.5 µm or less (tonnes);2019;374.1
33: Repair and installation of machinery and equipment;PM10 - Particles with a diameter of 10 µm or less (tonnes);2019;796.1
33: Repair and installation of machinery and equipment;NOx - Nitrogen oxides (tonnes of equivalent NO2);2019;201.1
33: Repair and installation of machinery and equipment;SOx - Sulphur oxides (tonnes of equivalent SO2);2019;4.0
33: Repair and installation of machinery and equipment;NH3 - Ammonia (tonnes);2019;7.9
33: Repair and installation of machinery and equipment;CO - Carbon monoxide (tonnes);2019;9.5
33: Repair and installation of machinery and equipment;NMVOC - Non-metallic volatile organic compounds (tonnes);2019;0.9
35: Electricity, gas, steam and air conditioning supply;CO2 - Carbon dioxide (thousands tonnes);2019;32.9
35: Electricity, gas, steam and air conditioning supply;CH4 - Methane (tonnes);2019;0.3
35: Electricity, gas, steam and air conditioning supply;N2O - Nitrous oxide (tonnes);2019;1.6
35: Electricity, gas, steam and air conditioning supply;PFC - Perfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;6.8
35: Electricity, gas, steam and air conditioning supply;HFC - Hydrogenfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;2.0
35: Electricity, gas, steam and air conditioning supply;SF6 - Sulphur hexaflouride (thousands of tonnes of equivalent CO2);2019;5.2
35: Electricity, gas, steam and air conditioning supply;PM2.5 - Particles with a diameter of  2.5 µm or less (tonnes);2019;1.9
35: Electricity, gas, steam and air conditioning supply;PM10 - Particles with a diameter of 10 µm or less (tonnes);2019;2.4
35: Electricity, gas, steam and air conditioning supply;NOx - Nitrogen oxides (tonnes of equivalent NO2);2019;9.5
35: Electricity, gas, steam and air conditioning supply;SOx - Sulphur oxides (tonnes of equivalent SO2);2019;4.4
35: Electricity, gas, steam and air conditioning supply;NH3 - Ammonia (tonnes);2019;2.3
35: Electricity, gas, steam and air conditioning supply;CO - Carbon monoxide (tonnes);2019;1.2
35: Electricity, gas, steam and air conditioning supply;NMVOC - Non-metallic volatile organic compounds (tonnes);2019;1.4
36: Water collection, treatment and supply;CO2 - Carbon dioxide (thousands tonnes);2019;0.9
36: Water collection, treatment and supply;CH4 - Methane (tonnes);2019;0.7
36: Water collection, treatment and supply;N2O - Nitrous oxide (tonnes);2019;0.4
36: Water collection, treatment and supply;PFC - Perfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;0.4
36: Water collection, treatment and supply;HFC - Hydrogenfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;3.4
36: Water collection, treatment and supply;SF6 - Sulphur hexaflouride (thousands of tonnes of equivalent CO2);2019;24.3
36: Water collection, treatment and supply;PM2.5 - Particles with a diameter of  2.5 µm or less (tonnes);2019;18.7
36: Water collection, treatment and supply;PM10 - Particles with a diameter of 10 µm or less (tonnes);2019;16.5
36: Water collection, treatment and supply;NOx - Nitrogen oxides (tonnes of equivalent NO2);2019;8.0
36: Water collection, treatment and supply;SOx - Sulphur oxides (tonnes of equivalent SO2);2019;4.6
36: Water collection, treatment and supply;NH3 - Ammonia (tonnes);2019;3.7
36: Water collection, treatment and supply;CO - Carbon monoxide (tonnes);2019;2.8
36: Water collection, treatment and supply;NMVOC - Non-metallic volatile organic compounds (tonnes);2019;0.8
37-39: Sewerage, waste management and remediation activities;CO2 - Carbon dioxide (thousands tonnes);2019;3.2
37-39: Sewerage, waste management and remediation activities;CH4 - Methane (tonnes);2019;0.2
37-39: Sewerage, waste management and remediation activities;N2O - Nitrous oxide (tonnes);2019;4,476.7
37-39: Sewerage, waste management and remediation activities;PFC - Perfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;1,497.4
37-39: Sewerage, waste management and remediation activities;HFC - Hydrogenfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;5,974.1
37-39: Sewerage, waste management and remediation activities;SF6 - Sulphur hexaflouride (thousands of tonnes of equivalent CO2);2019;0.0
37-39: Sewerage, waste management and remediation activities;PM2.5 - Particles with a diameter of  2.5 µm or less (tonnes);2019;0.0
37-39: Sewerage, waste management and remediation activities;PM10 - Particles with a diameter of 10 µm or less (tonnes);2019;0.0
37-39: Sewerage, waste management and remediation activities;NOx - Nitrogen oxides (tonnes of equivalent NO2);2019;0.0
37-39: Sewerage, waste management and remediation activities;SOx - Sulphur oxides (tonnes of equivalent SO2);2019;0.0
37-39: Sewerage, waste management and remediation activities;NH3 - Ammonia (tonnes);2019;0.0
37-39: Sewerage, waste management and remediation activities;CO - Carbon monoxide (tonnes);2019;0.0
37-39: Sewerage, waste management and remediation activities;NMVOC - Non-metallic volatile organic compounds (tonnes);2019;0.0
41-43: Construction;CO2 - Carbon dioxide (thousands tonnes);2019;0.0
41-43: Construction;CH4 - Methane (tonnes);2019;0.0
41-43: Construction;N2O - Nitrous oxide (tonnes);2019;0.0
41-43: Construction;PFC - Perfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;0.0
41-43: Construction;HFC - Hydrogenfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;0.0
41-43: Construction;SF6 - Sulphur hexaflouride (thousands of tonnes of equivalent CO2);2019;0.0
41-43: Construction;PM2.5 - Particles with a diameter of  2.5 µm or less (tonnes);2019;0.0
41-43: Construction;PM10 - Particles with a diameter of 10 µm or less (tonnes);2019;0.0
41-43: Construction;NOx - Nitrogen oxides (tonnes of equivalent NO2);2019;0.0
41-43: Construction;SOx - Sulphur oxides (tonnes of equivalent SO2);2019;0.0
41-43: Construction;NH3 - Ammonia (tonnes);2019;0.0
41-43: Construction;CO - Carbon monoxide (tonnes);2019;0.0
41-43: Construction;NMVOC - Non-metallic volatile organic compounds (tonnes);2019;0.0
45: Wholesale and retail trade and repair of motor vehicles and motorcycles;CO2 - Carbon dioxide (thousands tonnes);2019;0.0
45: Wholesale and retail trade and repair of motor vehicles and motorcycles;CH4 - Methane (tonnes);2019;0.0
45: Wholesale and retail trade and repair of motor vehicles and motorcycles;N2O - Nitrous oxide (tonnes);2019;224.9
45: Wholesale and retail trade and repair of motor vehicles and motorcycles;PFC - Perfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;0.0
45: Wholesale and retail trade and repair of motor vehicles and motorcycles;HFC - Hydrogenfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;0.0
45: Wholesale and retail trade and repair of motor vehicles and motorcycles;SF6 - Sulphur hexaflouride (thousands of tonnes of equivalent CO2);2019;0.0
45: Wholesale and retail trade and repair of motor vehicles and motorcycles;PM2.5 - Particles with a diameter of  2.5 µm or less (tonnes);2019;0.0
45: Wholesale and retail trade and repair of motor vehicles and motorcycles;PM10 - Particles with a diameter of 10 µm or less (tonnes);2019;0.0
45: Wholesale and retail trade and repair of motor vehicles and motorcycles;NOx - Nitrogen oxides (tonnes of equivalent NO2);2019;0.0
45: Wholesale and retail trade and repair of motor vehicles and motorcycles;SOx - Sulphur oxides (tonnes of equivalent SO2);2019;0.0
45: Wholesale and retail trade and repair of motor vehicles and motorcycles;NH3 - Ammonia (tonnes);2019;0.0
45: Wholesale and retail trade and repair of motor vehicles and motorcycles;CO - Carbon monoxide (tonnes);2019;0.0
45: Wholesale and retail trade and repair of motor vehicles and motorcycles;NMVOC - Non-metallic volatile organic compounds (tonnes);2019;0.0
46: Wholesale trade;CO2 - Carbon dioxide (thousands tonnes);2019;0.0
46: Wholesale trade;CH4 - Methane (tonnes);2019;0.0
46: Wholesale trade;N2O - Nitrous oxide (tonnes);2019;0.0
46: Wholesale trade;PFC - Perfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;0.0
46: Wholesale trade;HFC - Hydrogenfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;0.0
46: Wholesale trade;SF6 - Sulphur hexaflouride (thousands of tonnes of equivalent CO2);2019;0.0
46: Wholesale trade;PM2.5 - Particles with a diameter of  2.5 µm or less (tonnes);2019;0.0
46: Wholesale trade;PM10 - Particles with a diameter of 10 µm or less (tonnes);2019;0.0
46: Wholesale trade;NOx - Nitrogen oxides (tonnes of equivalent NO2);2019;0.0
46: Wholesale trade;SOx - Sulphur oxides (tonnes of equivalent SO2);2019;0.0
46: Wholesale trade;NH3 - Ammonia (tonnes);2019;0.0
46: Wholesale trade;CO - Carbon monoxide (tonnes);2019;0.0
46: Wholesale trade;NMVOC - Non-metallic volatile organic compounds (tonnes);2019;0.0
47: Retail trade;CO2 - Carbon dioxide (thousands tonnes);2019;0.0
47: Retail trade;CH4 - Methane (tonnes);2019;0.0
47: Retail trade;N2O - Nitrous oxide (tonnes);2019;0.0
47: Retail trade;PFC - Perfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;0.0
47: Retail trade;HFC - Hydrogenfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;0.0
47: Retail trade;SF6 - Sulphur hexaflouride (thousands of tonnes of equivalent CO2);2019;0.0
47: Retail trade;PM2.5 - Particles with a diameter of  2.5 µm or less (tonnes);2019;0.0
47: Retail trade;PM10 - Particles with a diameter of 10 µm or less (tonnes);2019;0.0
47: Retail trade;NOx - Nitrogen oxides (tonnes of equivalent NO2);2019;3.1
47: Retail trade;SOx - Sulphur oxides (tonnes of equivalent SO2);2019;0.0
47: Retail trade;NH3 - Ammonia (tonnes);2019;0.0
47: Retail trade;CO - Carbon monoxide (tonnes);2019;0.0
47: Retail trade;NMVOC - Non-metallic volatile organic compounds (tonnes);2019;0.0
49: Land transport and transport via pipelines;CO2 - Carbon dioxide (thousands tonnes);2019;0.0
49: Land transport and transport via pipelines;CH4 - Methane (tonnes);2019;0.0
49: Land transport and transport via pipelines;N2O - Nitrous oxide (tonnes);2019;0.0
49: Land transport and transport via pipelines;PFC - Perfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;228.0
49: Land transport and transport via pipelines;HFC - Hydrogenfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;0.0
49: Land transport and transport via pipelines;SF6 - Sulphur hexaflouride (thousands of tonnes of equivalent CO2);2019;228.0
49: Land transport and transport via pipelines;PM2.5 - Particles with a diameter of  2.5 µm or less (tonnes);2019;50,481.8
49: Land transport and transport via pipelines;PM10 - Particles with a diameter of 10 µm or less (tonnes);2019;60.9
49: Land transport and transport via pipelines;NOx - Nitrogen oxides (tonnes of equivalent NO2);2019;706.7
49: Land transport and transport via pipelines;SOx - Sulphur oxides (tonnes of equivalent SO2);2019;1,528.3
49: Land transport and transport via pipelines;NH3 - Ammonia (tonnes);2019;3,022.4
49: Land transport and transport via pipelines;CO - Carbon monoxide (tonnes);2019;219.2
49: Land transport and transport via pipelines;NMVOC - Non-metallic volatile organic compounds (tonnes);2019;581.0
50: Water transport;CO2 - Carbon dioxide (thousands tonnes);2019;2,512.1
50: Water transport;CH4 - Methane (tonnes);2019;71.1
50: Water transport;N2O - Nitrous oxide (tonnes);2019;558.2
50: Water transport;PFC - Perfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;1,797.5
50: Water transport;HFC - Hydrogenfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;22.5
50: Water transport;SF6 - Sulphur hexaflouride (thousands of tonnes of equivalent CO2);2019;182.1
50: Water transport;PM2.5 - Particles with a diameter of  2.5 µm or less (tonnes);2019;2,016.8
50: Water transport;PM10 - Particles with a diameter of 10 µm or less (tonnes);2019;2,411.4
50: Water transport;NOx - Nitrogen oxides (tonnes of equivalent NO2);2019;125.3
50: Water transport;SOx - Sulphur oxides (tonnes of equivalent SO2);2019;12.7
50: Water transport;NH3 - Ammonia (tonnes);2019;88.0
50: Water transport;CO - Carbon monoxide (tonnes);2019;116.9
50: Water transport;NMVOC - Non-metallic volatile organic compounds (tonnes);2019;259.8
51: Air transport;CO2 - Carbon dioxide (thousands tonnes);2019;82.7
51: Air transport;CH4 - Methane (tonnes);2019;37.3
51: Air transport;N2O - Nitrous oxide (tonnes);2019;73.6
51: Air transport;PFC - Perfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;3,156.5
51: Air transport;HFC - Hydrogenfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;9.3
51: Air transport;SF6 - Sulphur hexaflouride (thousands of tonnes of equivalent CO2);2019;85.6
51: Air transport;PM2.5 - Particles with a diameter of  2.5 µm or less (tonnes);2019;1,598.2
51: Air transport;PM10 - Particles with a diameter of 10 µm or less (tonnes);2019;87.6
51: Air transport;NOx - Nitrogen oxides (tonnes of equivalent NO2);2019;355.7
51: Air transport;SOx - Sulphur oxides (tonnes of equivalent SO2);2019;148.7
51: Air transport;NH3 - Ammonia (tonnes);2019;3,158.3
51: Air transport;CO - Carbon monoxide (tonnes);2019;3,459.8
51: Air transport;NMVOC - Non-metallic volatile organic compounds (tonnes);2019;655.4
52: Warehousing and support activities for transportation;CO2 - Carbon dioxide (thousands tonnes);2019;171.9
52: Warehousing and support activities for transportation;CH4 - Methane (tonnes);2019;18.1
52: Warehousing and support activities for transportation;N2O - Nitrous oxide (tonnes);2019;277.5
52: Warehousing and support activities for transportation;PFC - Perfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;32.4
52: Warehousing and support activities for transportation;HFC - Hydrogenfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;19.5
52: Warehousing and support activities for transportation;SF6 - Sulphur hexaflouride (thousands of tonnes of equivalent CO2);2019;38.7
52: Warehousing and support activities for transportation;PM2.5 - Particles with a diameter of  2.5 µm or less (tonnes);2019;24.1
52: Warehousing and support activities for transportation;PM10 - Particles with a diameter of 10 µm or less (tonnes);2019;17.9
52: Warehousing and support activities for transportation;NOx - Nitrogen oxides (tonnes of equivalent NO2);2019;7.9
52: Warehousing and support activities for transportation;SOx - Sulphur oxides (tonnes of equivalent SO2);2019;9.9
52: Warehousing and support activities for transportation;NH3 - Ammonia (tonnes);2019;36.7
52: Warehousing and support activities for transportation;CO - Carbon monoxide (tonnes);2019;50.7
52: Warehousing and support activities for transportation;NMVOC - Non-metallic volatile organic compounds (tonnes);2019;31.3
53: Postal and courier activities;CO2 - Carbon dioxide (thousands tonnes);2019;9.3
53: Postal and courier activities;CH4 - Methane (tonnes);2019;16.0
53: Postal and courier activities;N2O - Nitrous oxide (tonnes);2019;11.6
53: Postal and courier activities;PFC - Perfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;47.3
53: Postal and courier activities;HFC - Hydrogenfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;9.3
53: Postal and courier activities;SF6 - Sulphur hexaflouride (thousands of tonnes of equivalent CO2);2019;9.3
53: Postal and courier activities;PM2.5 - Particles with a diameter of  2.5 µm or less (tonnes);2019;50.7
53: Postal and courier activities;PM10 - Particles with a diameter of 10 µm or less (tonnes);2019;843.6
53: Postal and courier activities;NOx - Nitrogen oxides (tonnes of equivalent NO2);2019;69.6
53: Postal and courier activities;SOx - Sulphur oxides (tonnes of equivalent SO2);2019;104.7
53: Postal and courier activities;NH3 - Ammonia (tonnes);2019;29.0
53: Postal and courier activities;CO - Carbon monoxide (tonnes);2019;19.5
53: Postal and courier activities;NMVOC - Non-metallic volatile organic compounds (tonnes);2019;242.5
55-56: Accommodation food and beverage service activities;CO2 - Carbon dioxide (thousands tonnes);2019;215.8
55-56: Accommodation food and beverage service activities;CH4 - Methane (tonnes);2019;3.9
